Idea ID,Problem ID,Idea,Feasibility,Feasibility Rationale,Market Potential,Market Rationale,Originality,Originality Rationale,Simplicity,Simplicity Rationale,Wow Factor,Wow Rationale,Aggregate,Rank
NP-13-A,NP-13,Self-service eligibility estimator + warm handoff,88,Public eligibility rules; chatbot + form pre-fill; fully within hackathon scope.,82,"Voedselbanken Nederland, municipalities, Armoedefonds, all 150+ regional food banks.",72,"US analogues (Plentiful, OasisInsight) exist; NL-specific eligibility calculator + routing is new for the region.",88,"Single chatbot flow; 'am I eligible? yes, here's your nearest bank with a click-to-book' is crisp.",70,Mission weight is real and clean UX will land; but the chatbot-to-result flow is a familiar demo genre — rides on emotional framing rather than visual novelty.,80.0,2
NP-13-B,NP-13,Proactive referral via partner-institution screening,55,Requires GP/school/UWV integration + consent workflow; slow to validate.,75,"Municipalities, debt-counselling partners, GGD — fits existing Vroegsignalering model.",78,Screen-and-refer pattern well-established for debt (Wgs 2021); food-aid analogue is not deployed.,52,Multi-party workflow; hard to show end-to-end impact in 24h.,45,Multi-party plumbing; the pitch is mostly slides and institutional diagrams — structurally not a 'wow' candidate.,61.0,30
NP-13-C,NP-13,Stigma-free supermarket voucher model,45,Requires supermarket partnership + clearing infrastructure; not primarily a software build.,80,"Supermarkets, municipalities, health insurers; UK Healthy Start proves the model works at scale.",80,No NL voucher-based food aid at scale; UK Healthy Start is nearest analogue but limited scope.,65,"Voucher app itself is simple but the backend (reimbursement, fraud control, store onboarding) is not.",60,"The app demo looks like any other payment app; the insight is the model (supermarket clearing), which requires story rather than spectacle.",66.0,23
ES-10-A,ES-10,ML secondary-review overlay for low-priority dispatches,65,Needs dispatch-data access + trained ML model; Uppsala RCT provides scaffolding.,80,Dispatch centres; 112 authorities across EU; strong institutional market.,72,Uppsala RCT NCT04757194 validates approach in principle; deployment is what's new.,62,ML overlay + human-in-loop; demo with synthetic call data possible but explanation needed.,55,"Dispatcher-internal overlay; judges see flags appearing on a dispatch screen — useful but quiet, low narrative punch.",66.8,21
ES-10-B,ES-10,LLM-driven adaptive questioning for ambiguous symptoms,72,LLM + MPDS knowledge base; real-time question-suggestion in dispatcher UI.,78,Dispatch centres; complements existing MPDS/ProQA installations.,78,"No adaptive question-suggestion deployed in 112; MPDS revisions happen over years, not in real time.",65,Dispatcher sees suggested follow-up question; clean story but non-trivial to evaluate.,58,Novel framing (adaptive MPDS) but the demo shows a dispatcher receiving suggested questions — quiet insight rather than spectacle.,70.2,16
ES-10-C,ES-10,Post-dispatch callback prioritisation,68,CAD integration required; ML model for deterioration-risk prediction.,72,Dispatch centres; fits existing callback workflows.,72,Discretionary callback is standard; ML-prioritised queue is new.,65,Dashboard demo clear; impact harder to demonstrate without live operations.,45,Priority queue dashboard — 'you save lives by ordering a list' doesn't land in 5 minutes.,64.4,26
ES-05-A,ES-05,AR-guided CPR via smartphone video,65,AR + depth detection from phone is doable; call-workflow integration + consent flow add cost.,78,"Heart foundations, 112 centres, consumer-health markets.",82,Linderoth 2015 validates premise; no RCT of AR-CPR; no 112 integration.,60,AR demo is visually striking but build is non-trivial; consent UX adds friction.,88,Phone on a mannequin chest with AR overlay guiding compressions in real time is one of the most cinematic demos possible; 'technology saves life' narrative lands immediately with all four judges.,74.6,9
ES-05-B,ES-05,Adaptive DA-CPR script for physical-constraint scenarios,80,LLM-driven branching script; MPDS knowledge + constraint taxonomy.,72,Dispatch centres directly; fits within existing DA-CPR protocols.,78,Current scripts are one-size-fits-all; adaptive branching not deployed.,75,Text-based branching; simpler than AR; clear dispatcher-screen demo.,58,"Useful and well-scoped, but shown as a dispatcher's screen with branching text — the insight doesn't translate to stage spectacle.",72.6,11
ES-05-C,ES-05,Audio metronome + calming soundscape,90,Trivial audio pipeline; mobile + dispatcher-side both easy.,55,Small incremental improvement; hard to monetise independently; best as feature of larger product.,65,Stayin' Alive-style metronomes exist; automatic 112-integrated version is new.,92,Literally one audio channel; simplest thing in the idea set; demos itself.,40,"'We built a metronome' will not land with founder-judges; even if the intervention is valid, the ambition signal is too low.",68.4,19
ES-18-A,ES-18,AR AED opening walkthrough,75,Computer vision + AR overlay; multi-manufacturer model library needed.,72,"Heart foundations, AHA, AED manufacturers (Philips, Zoll, Defibtech) as potential co-sponsors.",82,No AR-overlay AED assistant in deployment; no cross-manufacturer library.,72,"Point camera at AED, see instructions overlaid — immediate visual impact demo.",87,"Bring a Philips HeartStart on stage, point a phone, watch arrows light up where to press and place pads. Tactile, visual, clearly useful. Jones (Polarsteps) will love the consumer polish angle.",77.6,3
ES-18-B,ES-18,Dispatch-optimised volunteer role assignment,70,HartslagNu integration; role-assignment algorithm tractable but needs partner.,78,"HartslagNu as primary partner; replicable to PulsePoint (5,500 US communities) and German GoodSAM.",85,PulsePoint acknowledges '23% response rate' problem; no role-optimisation solution exists.,72,Map + role assignments is visually clear; HartslagNu partnership enhances demo.,72,"Live map showing named volunteers getting specific roles ('you: AED', 'you: compressions') tells a crisp collaboration story; judges recognise HartslagNu which builds local credibility.",75.4,8
ES-18-C,ES-18,Residential-zone AED confidence nudge,80,Notification system + micro-quiz; no partner required for MVP.,65,"Municipalities, hart foundations; scale via voluntary opt-in in AED hotspots.",75,Residential-zone nudges + AED-specific micro-training not deployed.,82,Push notification + 60-second quiz; minimal surface area; easy demo.,52,Push notifications are structurally low-drama on stage; the insight (residential-zone training decay) is sophisticated but hard to land in 5 minutes.,70.8,15
ES-09-A,ES-09,LLM advisory flagging likely-overtriage cases,72,LLM + MPDS context; real-time advisory overlay on dispatcher UI.,82,Dispatch centres directly; Quebec 74.5% overtriage figure quantifies the value.,75,No overtriage-specific AI advisory deployed; Corti targets opposite direction (recognition).,70,Non-blocking flag on dispatcher screen; clean demo.,58,"Dispatcher-internal flag overlay — useful and commercially credible, but visually quiet on stage.",71.4,14
ES-09-B,ES-09,In-call non-urgent self-service chatbot,68,Chatbot + handoff UX; integration with huisartsenpost adds complexity.,78,"huisartsenpost, 112, health insurers; Portugal pilot shows market interest.",72,Portugal ChatGPT INEM pilot is closest; public deployment is rare.,72,Caller gets referred to chatbot during 112 call; demo-able but socially delicate.,55,Acting out 'you're being redirected from 112 to a chatbot' can feel off-tone for a live audience; the social framing fights the tech demo.,69.0,18
ES-09-C,ES-09,Explainable shadow-reasoning dispatch assistant,70,LLM + structured reasoning trace; can be built on top of Corti-style classifier.,82,Dispatch centres; EENA/Corti AI4EMS initiative explicitly targets this gap.,85,Blomberg 2021 JAMA RCT showed opaque AI fails; explainability is #1 open problem in the literature.,68,Reasoning-trace side panel; needs careful UX but demo-able.,75,Explainable AI is precisely the category these judges perk up at (especially van Lanschot); reasoning-trace side panel with high-stakes decisions demos cleanly.,76.0,6
