Idea ID,Problem ID,Idea,Urgency,Impact,Feasibility,Cost Efficiency,Likelihood,Wow Factor,Innovation,Build Local,Technical Execution,Impact & Viability,Pitch & Presentation,Aggregate,Rank,Notes
ES-09-A,ES-09,LLM advisory flagging likely-overtriage cases,75,75,72,70,72,58,75,75,75,82,62,71.9,18,"Quebec 74.5% overtriage figure quantifies value. Quiet dispatcher-internal demo."
ES-04-C,ES-04,Post-call LLM QI reviewer,90,95,75,72,75,45,72,75,70,70,50,71.7,19,"Operationally useful, dashboard demo dead on stage."
ES-10-A,ES-10,ML secondary-review overlay for low-priority dispatches,85,90,65,60,65,55,72,75,75,80,55,70.6,20,"Uppsala RCT scaffolds. Synthetic call data demo needs heavy explanation."
ES-05-C,ES-05,Audio metronome + calming soundscape,90,92,90,90,85,40,65,68,60,55,38,70.3,21,"Trivial to build, but ""we built a metronome"" sinks ambition signal with founder-judges."
NP-15-C,NP-15,AI + peer-navigator hybrid,85,80,65,60,60,58,75,80,65,70,58,68.7,22,"Two-sided workflow. Hard to demo end-to-end; soul of idea fights pitch format."
ES-10-C,ES-10,Post-dispatch callback prioritisation,85,90,68,62,65,45,72,75,70,72,48,68.4,23,"CAD integration required. ""Save lives by ordering a list"" doesn't land in 5min."
ES-09-B,ES-09,In-call non-urgent self-service chatbot,75,75,68,65,65,55,72,72,70,78,55,68.2,24,"Portugal INEM pilot precedent. ""Redirected from 112 to chatbot"" is socially delicate framing."
NP-20-C,NP-20,Frontline-professional silent-referral tool,95,92,60,60,60,50,75,75,60,68,55,68.2,25,"Real Meldcode gap but multi-party demo mostly slides + personas."
ES-12-B,ES-12,24/7 residential AED neighbour programme,85,90,55,50,55,58,88,80,55,68,58,67.3,26,"Globally novel programme but multi-quarter operational build, not 24h hackathon."
ES-03-C,ES-03,LLM speech reconstruction for panicked callers,85,90,60,55,55,55,80,65,75,65,55,67.3,27,"Frontier research (Venkateshperumal 2024 on synthetic only). Reconstructed text invisible to audience."
ES-12-C,ES-12,Remote-unlock outdoor AED cabinet (IoT retrofit),85,90,50,45,55,62,75,75,60,62,62,65.5,28,"Hardware + IoT + dispatch glue prohibitive in 24h. Live cabinet unlock would be dramatic if achievable."
NP-13-B,NP-13,Proactive referral via partner-institution screening,80,80,55,55,55,45,78,82,60,70,50,64.5,29,"Wgs 2021 debt analogue. Multi-party plumbing pitches as institutional diagrams."
NP-13-C,NP-13,Stigma-free supermarket voucher model,80,80,45,40,55,60,80,75,55,75,62,64.3,30,"UK Healthy Start proves model. Demo looks like any payment app; insight is the model not the screen."
